formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C6H10	[M + H3N + H]+	C6H14N+	Fatty acids	0.965	Fatty acyls	0.962	Hydrocarbons	0.432	Hydrocarbons	0.980	Unsaturated hydrocarbons	0.911	Unsaturated aliphatic hydrocarbons	0.922			Unsaturated aliphatic hydrocarbons	0.922	Organic compounds; Hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities	100.112	353	603012072266809012	603010815087023888	390
1	C6H10	[M + H]+	C6H11+	Fatty acids	0.955	Fatty acyls	0.973	Hydrocarbons	0.601	Hydrocarbons	0.991	Unsaturated hydrocarbons	0.961	Acetylenes	0.508			Acetylenes	0.508	Organic compounds; Hydrocarbons; Acetylenes; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities	83.086	353	603012072111619732	603010815242213141	391
1	C8H16N2	[M + H]+	C8H17N2+	Alkaloids	0.835	Ornithine alkaloids	0.335	Polyamines	0.517	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.901	Tertiary amines	0.509	Trialkylamines	0.531	Organic compounds; Organonitrogen compounds; Dialkylamines; Trialkylamines; Amines; Tertiary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	141.139	353	603012073424437254	603010815506454303	393
5	C31H39NO4	[M + H]+	C31H40NO4+	Shikimates and Phenylpropanoids	0.537	Tyrosine alkaloids	0.525	Isoquinoline alkaloids	0.477	Organoheterocyclic compounds	0.795	Benzopyrans	0.543	1-benzopyrans	0.554			1-benzopyrans	0.554	Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Ethers; Phenylpropanoids and polyketides; Organonitrogen compounds; Organooxygen compounds; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; 1-benzopyrans; Aralkylamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	490.298	359	603012079493597637	603010815632283428	394
2	C50H71N3O3	[M + H]+	C50H72N3O3+	Alkaloids	0.736	Tryptophan alkaloids	0.137	Acridone alkaloids	0.412	Benzenoids	0.968							Benzenoids	0.968	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Trialkylamines; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	762.558	354	603012089551541533	603010815791666985	395
1	C5H9N	[M + H]+	C5H10N+	Alkaloids	0.956	Lysine alkaloids	0.546	Piperidine alkaloids	0.814	Organoheterocyclic compounds	0.963	Piperidines	0.704					Piperidines	0.704	Organic compounds; Organoheterocyclic compounds; Piperidines; Organonitrogen compounds; Dialkylamines; Amines; Secondary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	84.081	369	603012072275197623	603010815972022062	396
1	C5H4N4O	[M + H]+	C5H5N4O+	Alkaloids	0.962	Pseudoalkaloids (transamidation)	0.891	Purine alkaloids	0.962	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.883	Purines and purine derivatives	0.860	Purinones	0.820	6-oxopurines	0.694	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	137.046	371	603012073315385311	603010816106239795	397
1	C4H5N3O	[M + H]+	C4H6N3O+	Alkaloids	0.676	Histidine alkaloids	0.172	Imidazole alkaloids	0.174	Organoheterocyclic compounds	0.993	Diazines	0.794	Pyrimidines and pyrimidine derivatives	0.779	Aminopyrimidines and derivatives	0.736	Aminopyrimidines and derivatives	0.736	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Hydropyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	112.051	371	603012073386688503	603010816236263224	398
1	C9H17N3O3	[M + H]+	C9H18N3O3+	Amino acids and Peptides	0.971	Small peptides	0.962	Aminoacids	0.284	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.964	Amino acids and derivatives	0.962	Alpha amino acid esters	0.566	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Alpha amino acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Carboximidamides; Methyl esters; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	216.134	372	603012064247294491	603010816416618301	399
1	C11H23NO2	[M + H]+	C11H24NO2+	Alkaloids	0.373	Lysine alkaloids	0.248	Piperidine alkaloids	0.210	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.993	Alkanolamines	0.911	1,2-aminoalcohols	0.848	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	202.180	371	603012073432825866	603010816563418946	400
1	C7H14N2	[M + H]+	C7H15N2+	Alkaloids	0.918	Ornithine alkaloids	0.510	Polyamines	0.553	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.970	Tertiary amines	0.723	Trialkylamines	0.712	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Dialkylamines; Trialkylamines; Amines; Secondary amines; Tertiary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	127.123	379	603012078554073103	603010816714413895	401
1	C6H13N	[M + H]+	C6H14N+	Alkaloids	0.925	Pseudoalkaloids (transamidation)	0.956	Acetate-derived alkaloids	0.987	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.930	Primary amines	0.815	Monoalkylamines	0.783	Organic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	100.112	380	603012079464237495	603010816886380364	402
1	C15H27NO5	[M + H]+	C15H28NO5+	Fatty acids	0.956	Fatty amides	0.927	N-acyl amines	0.513	Lipids and lipid-like molecules	0.863	Fatty Acyls	0.889	Fatty amides	0.757	N-acyl amines	0.760	N-acyl amines	0.760	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	302.196	380	603012077706823401	603010817075124049	403
1	C5H5N5O	[M + H]+	C5H6N5O+	Alkaloids	0.989	Pseudoalkaloids (transamidation)	0.910	Purine alkaloids	0.973	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.874	Purines and purine derivatives	0.635			Purines and purine derivatives	0.635	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.057	380	603012074389127422	603010817209341782	404
1	C11H15N5O5	[M + H]+	C11H16N5O5+	Carbohydrates	1.000	Nucleosides	1.000	Purine nucleosides	0.991	Nucleosides, nucleotides, and analogues	0.932	Purine nucleosides	0.838					Purine nucleosides	0.838	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Purine nucleosides; Purinones; Dialkyl ethers; Aminopyrimidines and derivatives; Diazines; Pentoses; 6-oxopurines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	298.114	380	603012076716967352	603010817356142427	405
1	C4H11NO	[M + H]+	C4H12NO+	Fatty acids	0.410	Spingolipids	0.055	Sphingoid bases	0.325	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.996	Alkanolamines	0.913	1,2-aminoalcohols	0.845	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	90.092	386	603012074036805830	603010817486165856	406
1	C9H19NO	[M + H]+	C9H20NO+	Alkaloids	0.769	Lysine alkaloids	0.869	Piperidine alkaloids	0.917	Organoheterocyclic compounds	0.928	Piperidines	0.879					Piperidines	0.879	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Piperidines; Organonitrogen compounds; Organooxygen compounds; Dialkylamines; Amines; Secondary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.154	403	603012078629570612	603010817645549413	407
1	C12H12N2O3	[M + H]+	C12H13N2O3+	Alkaloids	0.686	Small peptides	0.743	Quinazoline alkaloids	0.562	Organic acids and derivatives	0.970	Carboxylic acids and derivatives	0.954	Amino acids, peptides, and analogues	0.554	Amino acids and derivatives	0.557	Alpha amino acids and derivatives	0.510	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	233.092	421	603012078382106534	603010817838487402	408
1	C10H11N5O5	[M + H]+	C10H12N5O5+	Carbohydrates	0.999	Nucleosides	0.998	Purine nucleosides	0.969	Nucleosides, nucleotides, and analogues	0.901	Purine nucleosides	0.662					Purine nucleosides	0.662	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Purine nucleosides; Purinones; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Pentoses; 6-oxopurines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	282.083	422	603012076360451363	603010818010453871	409
1	C7H15NO2	[M + H]+	C7H16NO2+	Amino acids and Peptides	0.994	Small peptides	0.994	Aminoacids	0.994	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.979	Amino acids and derivatives	0.979	Alpha amino acids and derivatives	0.623	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Beta amino acids and derivatives; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.117	428	603012078042367878	603010818144671604	410
1	C6H7N5	[M + H]+	C6H8N5+	Alkaloids	0.996	Pseudoalkaloids (transamidation)	0.885	Purine alkaloids	0.919	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.961	Purines and purine derivatives	0.956	6-aminopurines	0.916	6-aminopurines	0.916	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organonitrogen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	150.077	432	603012079220967747	603010818333415289	411
1	C4H9NO	[M + H]+	C4H10NO+	Alkaloids	0.697	Pseudoalkaloids (transamidation)	0.233	Piperidine alkaloids	0.110	Organoheterocyclic compounds	0.953	Oxazinanes	0.887	Morpholines	0.877			Morpholines	0.877	Organic compounds; Organoheterocyclic compounds; Oxazinanes; Ethers; Organonitrogen compounds; Organooxygen compounds; Morpholines; Dialkyl ethers; Dialkylamines; Amines; Secondary amines; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	88.076	436	603012080022080152	603010818496993150	412
1	C6H15NO2	[M + H]+	C6H16NO2+	Fatty acids	0.745	Fatty amides	0.145	Sphingoid bases	0.381	Organic nitrogen compounds	1.000	Organonitrogen compounds	0.999	Amines	0.993	Alkanolamines	0.953	1,2-aminoalcohols	0.887	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	134.118	458	603012077446776445	603010818631210883	413
1	C4H5N3O	[M + H]+	C4H6N3O+	Alkaloids	0.704	Histidine alkaloids	0.171	Imidazole alkaloids	0.172	Organoheterocyclic compounds	0.992	Diazines	0.772	Pyrimidines and pyrimidine derivatives	0.757	Aminopyrimidines and derivatives	0.716	Aminopyrimidines and derivatives	0.716	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Hydropyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	112.051	475	603012079720090156	603010818748651400	414
1	C9H17NO5	[M + H]+	C9H18NO5+	Fatty acids	0.983	Fatty amides	0.842	N-acyl amines	0.982	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.936	Amino acids and derivatives	0.934	Beta amino acids and derivatives	0.969	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Beta amino acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	220.118	478	603012083633376587	603010818983532434	416
1	C12H24N2O3	[M + H]+	C12H25N2O3+	Amino acids and Peptides	1.000	Small peptides	1.000	Dipeptides	0.998	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Peptides	0.993	Dipeptides	0.984	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Leucine and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	245.186	481	603012077329335887	603010819105167255	417
1	C10H13N5O4	[M + H]+	C10H14N5O4+	Carbohydrates	1.000	Nucleosides	0.999	Purine nucleosides	0.998	Nucleosides, nucleotides, and analogues	0.966	Purine nucleosides	0.967	Purine 2'-deoxyribonucleosides	0.917			Purine 2'-deoxyribonucleosides	0.917	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Purine nucleosides; Purinones; Aminopyrimidines and derivatives; Diazines; 6-oxopurines; Secondary alcohols; Imidazopyrimidines; Purine 2'-deoxyribonucleosides; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	268.104	484	603012077627131590	603010819218413468	418
1	C5H5N5O	[M + H]+	C5H6N5O+	Alkaloids	0.991	Pseudoalkaloids (transamidation)	0.923	Purine alkaloids	0.977	Organoheterocyclic compounds	1.000	Imidazopyrimidines	0.897	Purines and purine derivatives	0.681			Purines and purine derivatives	0.681	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.057	484	603012078860257448	603010819331659681	419
1	C11H15N5O5	[M + H]+	C11H16N5O5+	Carbohydrates	1.000	Nucleosides	1.000	Purine nucleosides	0.999	Nucleosides, nucleotides, and analogues	0.982	Purine nucleosides	0.963					Purine nucleosides	0.963	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Azoles; Purine nucleosides; Purinones; Aminopyrimidines and derivatives; Diazines; Pentoses; 6-oxopurines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	298.114	499	603012082148592621	603010819474266022	420
1	C6H7N5O	[M + H]+	C6H8N5O+	Alkaloids	0.966	Pseudoalkaloids (transamidation)	0.905	Purine alkaloids	0.973	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.776	Purines and purine derivatives	0.587	Purinones	0.546	Hypoxanthines	0.583	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	166.072	500	603012081934683059	603010819616872363	421
1	C6H15NO3	[M + H]+	C6H16NO3+	Fatty acids	0.511	Aminosugars and aminoglycosides	0.086	Sphingoid bases	0.291	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.998	Alkanolamines	0.986	1,2-aminoalcohols	0.983	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	150.112	503	603012078386300853	603010820300543920	422
1	C6H10N2O2	[M + H]+	C6H11N2O2+	Alkaloids	0.869	Histidine alkaloids	0.738	Imidazole alkaloids	0.738	Organoheterocyclic compounds	0.997	Azoles	0.948	Imidazoles	0.766	Substituted imidazoles	0.582	Substituted imidazoles	0.582	Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Secondary alcohols; Substituted imidazoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	143.081	505	603012081204874076	603010820568979381	423
1	C36H24Cl2N4O4S2	[M + H]+	C36H25Cl2N4O4S2+	Amino acids and Peptides	0.638	Oligopeptides	0.084	Aminoacids	0.013	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.964	Amino acids, peptides, and analogues	0.534	Amino acids and derivatives	0.533	Amino acids and derivatives	0.533	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Benzenesulfonamides; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Sulfonyls; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Dichlorobenzenes; Aryl halides; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	711.069	526	603012710396663817	603010820778694586	424
1	C5H11NO2	[M + H]+	C5H12NO2+	Amino acids and Peptides	0.954	Small peptides	0.983	Aminoacids	0.971	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.988	Amino acids, peptides, and analogues	0.884	Amino acids and derivatives	0.882	Alpha amino acids	0.507	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic cations; Organic salts; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	118.086	529	603012090205853229	603010821529475022	429
1	C15H22N2O3	[M + H]+	C15H23N2O3+	Amino acids and Peptides	1.000	Small peptides	1.000	Dipeptides	0.999	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Peptides	0.990	Dipeptides	0.979	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Phenylpropanoic acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Leucine and derivatives; Isoleucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	279.170	542	603012101438203852	603010821663692755	430
1	C7H15N3O6	[M + H]+	C7H16N3O6+	Carbohydrates	0.997	Aminosugars and aminoglycosides	0.960	Aminosugars	0.939	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.923	Monosaccharides	0.913	Hexoses	0.562	Organic compounds; Carbohydrates and carbohydrate conjugates; Semicarbazides; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Nitrosoureas; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Nitrosamides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Organic N-nitroso compounds; Chemical entities	238.103	560	603012093171227555	603010821781133272	431
